# 
# 08/16/2023 20:56:08
# Die für das Projekt definierten Parameter sind:
# ,P16 - Numbers,P3 - Vergleichsspannung Maximum [MPa],P4 - Vergleichsspannung Mittelwert [MPa],P5 - Gesamtverformung Maximum [mm],P6 - Gesamtverformung Mittelwert [mm],P7 - Lösung MAPDL Benötigte Zeit [s],P8 - Vergleichsspannung Minimum [MPa],P9 - Gesamtverformung Minimum [mm],P10 - Totale Vergleichsdehnung Minimum [mm mm^-1],P11 - Totale Vergleichsdehnung Maximum [mm mm^-1],P12 - Totale Vergleichsdehnung Mittelwert [mm mm^-1],P13 - Elastische Vergleichsdehnung Minimum [mm mm^-1],P14 - Elastische Vergleichsdehnung Maximum [mm mm^-1],P15 - Elastische Vergleichsdehnung Mittelwert [mm mm^-1]
# 
# Die folgende Kopfzeile definiert die Namen der Spalten durch eine Referenz auf die Parameter.
Name,P16,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
DP 10,11,97.032804052946517,10.466313473945743,0.732906057828612,0.23559540661756068,16,0.027552686427150527,0,3.5969563327853393E-07,0.0012890923535451293,0.00014199395391306996,3.5969563327853393E-07,0.0012890923535451293,0.00014199395391306996
DP 11,12,144.70319207091148,10.322194693992397,0.86292660449961955,0.33444691875807619,16,0.041785535185400964,0,5.669171514455229E-07,0.0018908681813627481,0.00013967981695422354,5.669171514455229E-07,0.0018908681813627481,0.00013967981695422354
DP 12,13,120.8195508994674,9.6873409246922311,0.89429973295700327,0.34569370470768945,16,0.058900158240843832,0,1.0662060958566144E-06,0.0016644873345891635,0.00013163491551582094,1.0662060958566144E-06,0.0016644873345891635,0.00013163491551582094
DP 13,14,153.73611177649911,12.368831924335449,1.1284419580706033,0.31243746139355166,16,0.037849495499016977,0,7.4397621574462391E-07,0.0020184202585369349,0.00016892190045809623,7.4397621574462391E-07,0.0020184202585369349,0.00016892190045809623
DP 14,15,171.41196512807483,9.458897454839347,0.71799991227148463,0.25051370895559866,16,0.045241132610605639,0,5.9061528645543149E-07,0.002237754175439477,0.00012847936923765266,5.9061528645543149E-07,0.002237754175439477,0.00012847936923765266
DP 15,16,112.50612886456774,7.682985534384887,0.48471961555664911,0.1720722974054488,17,0.091358745690545654,0,1.2572309913139179E-06,0.0014687484363093972,0.00010365228565912106,1.2572309913139179E-06,0.0014687484363093972,0.00010365228565912106
DP 16,17,93.707759011977942,9.0648269340536825,0.57381607797549372,0.185277342093132,16,0.076452365315969315,0,1.2050871873725555E-06,0.0014313773135654628,0.00012301482295257803,1.2050871873725555E-06,0.0014313773135654628,0.00012301482295257803
DP 17,18,160.67152964762826,10.784073774356509,1.0417624427250769,0.41085556201905277,16,0.040557204706690435,0,1.3933558875578456E-06,0.0021018298575654626,0.00014657657950924516,1.3933558875578456E-06,0.0021018298575654626,0.00014657657950924516
DP 18,19,149.39495411834844,12.5079009880191,1.1898843103598877,0.4263860257940052,16,0.13313128605340863,0,1.7380064036842668E-06,0.0020168508247782788,0.00016963993611797051,1.7380064036842668E-06,0.0020168508247782788,0.00016963993611797051
DP 19,20,280.8342409954767,10.306813451107725,0.96540440330273181,0.38497295488557731,15,0,0,0,0.0037082813214510679,0.00014242580980997887,0,0.0037082813214510679,0.00014242580980997887
DP 20,21,67.996564103180972,8.8332600360170748,0.63199492303628024,0.22609868755765686,24,0.044692223926726164,0,5.8344937770016259E-07,0.0010291932655187945,0.00011953756258177079,5.8344937770016259E-07,0.0010291932655187945,0.00011953756258177079
DP 21,22,265.01592727298896,12.533988393144812,1.1060500659740087,0.3630065872924283,15,0.019524845683935515,0,6.0981886917943484E-07,0.0034597378689795732,0.00016957100284802242,6.0981886917943484E-07,0.0034597378689795732,0.00016957100284802242
DP 22,23,99.9070918181384,10.231020471199201,0.751848732082816,0.26645289923441412,16,0.063016353525560925,0,2.2643450847681379E-06,0.0013042701175436378,0.00013818064857432433,2.2643450847681379E-06,0.0013042701175436378,0.00013818064857432433
DP 23,24,203.54977798980011,12.142388562122727,1.1905763041514139,0.45552202872742054,16,0.11807020989568892,0,1.5489983979932731E-06,0.0027534215866277614,0.00016532988857924263,1.5489983979932731E-06,0.0027534215866277614,0.00016532988857924263
DP 24,25,171.40981750988149,9.6693256436260082,0.72978421745099453,0.25160665369969287,22,0.034970685726774954,0,5.5432198564631108E-07,0.0022467910894192755,0.00013177353932170642,5.5432198564631108E-07,0.0022467910894192755,0.00013177353932170642
DP 25,26,275.16753120095746,14.121112154118975,2.7719050513435772,1.3014229621203841,13,0.045266015606205669,0,5.90940146594221E-07,0.00472808163613081,0.00019658763313836294,5.90940146594221E-07,0.0035992969060316682,0.00019560259250836769
DP 26,27,137.8672322898596,9.38349812682768,0.703053664266626,0.2450130622573323,16,0.058565581982378483,0,7.645637083442125E-07,0.0017998332623392344,0.00012706829882750474,7.645637083442125E-07,0.0017998332623392344,0.00012706829882750474
DP 27,28,93.614206323817186,7.31830760198952,0.437138366979167,0.1498132724589353,17,0.089405830438213735,0,1.897027307980655E-06,0.0012221175711601973,9.9076443923387617E-05,1.897027307980655E-06,0.0012221175711601973,9.9076443923387617E-05
DP 28,29,290.19390314514783,15.69476693605189,2.1580469577131058,0.78409957947895614,14,0,0,0,0.0041183894500136375,0.00022036340078165491,0,0.0038988424930721521,0.00022015474842442551
DP 29,30,155.6021878414744,10.467502319439971,0.81034543493024669,0.25601248910165553,16,0.021471092414964803,0,7.2584623467264464E-07,0.0020383144146762788,0.0001424296800496678,7.2584623467264464E-07,0.0020383144146762788,0.0001424296800496678
DP 30,31,165.65581054019964,9.7238346237562325,0.76401421397439451,0.26460321509364665,14,0.030116647655213713,0,2.1496963427125593E-06,0.0021626085508614779,0.00013204074087389337,2.1496963427125593E-06,0.0021626085508614779,0.00013204074087389337
DP 31,32,126.18783042173929,9.5953253317267642,0.72332209984486018,0.25882212006468586,14,0.031304824809963536,0,6.475162876995455E-07,0.0016473607392981648,0.00013227037575105192,6.475162876995455E-07,0.0016473607392981648,0.00013227037575105192
DP 32,33,75.979922532074312,8.9141243717194278,0.58351549591345175,0.18053283613490173,16,0.05893384507146418,0,1.284457340489098E-06,0.00100061212045451,0.00012033930789815959,1.284457340489098E-06,0.00100061212045451,0.00012033930789815959
DP 33,34,176.18151290464058,8.2529174079855867,0.57961814304949177,0.20345084808125302,14,0,0,0,0.0023000198416411877,0.00011331396318202947,0,0.0023000198416411877,0.00011331396318202947
DP 34,35,236.80788255644063,14.11465058594567,1.4191681863194312,0.54463536509756549,14,0,0,0,0.0030914866365492344,0.00019739175550887665,0,0.0030914866365492344,0.00019733991162369885
DP 35,36,116.59612733895486,9.0509966520140335,0.68063523699383888,0.25770277137066755,16,0.027504381424217912,0,3.5906504081140156E-07,0.0015473501989617944,0.00012306917068955021,3.5906504081140156E-07,0.0015473501989617944,0.00012306917068955021
DP 36,37,104.77229691076278,10.573460576160194,0.73280129765202284,0.247192896498015,15,0.064044435357094129,0,8.3608921386257862E-07,0.001367784570902586,0.0001448699098230225,8.3608921386257862E-07,0.001367784570902586,0.0001448699098230225
DP 37,38,209.03688757613421,11.394894133369574,1.081493333007812,0.41043024734907962,16,0.05592739180656036,0,1.2348966151876084E-06,0.0028752179350703955,0.00015653878599363182,1.2348966151876084E-06,0.0028752179350703955,0.00015653878599363182
DP 38,39,242.29699906873756,12.412971085544951,1.3333112515011762,0.50040995084769568,14,0.045986019265143743,0,6.003396606502065E-07,0.0031747516477480531,0.00016940669166236436,6.003396606502065E-07,0.0031747516477480531,0.00016940669166236436
DP 39,40,86.145358098216221,8.4671568117777749,0.60380004646752006,0.224049444146161,18,0.034785618755858089,0,4.5412036797642941E-07,0.0011305880034342408,0.00011508466188381034,4.5412036797642941E-07,0.0011305880034342408,0.00011508466188381034
DP 40,41,75.816044316370835,8.6362073101273946,0.53452985151058163,0.18725155524162643,15,0.094631630543436721,0,1.2353998499747831E-06,0.0011661977914627641,0.00011617891484412196,1.2353998499747831E-06,0.0011661977914627641,0.00011617891484412196
DP 41,42,253.64787128276132,15.387380365250904,2.1040588719469189,0.76674012285604165,13,0,0,0,0.0034830057993531227,0.00021564508994975637,0,0.0034830057993531227,0.00021562267260068294
DP 42,43,170.526451853123,12.382003684458573,1.1992767524291361,0.34505870911926084,16,0.021280072955947443,0,5.8595043128661928E-07,0.0023247710584352412,0.00016889887561145407,5.8595043128661928E-07,0.0023247710584352412,0.00016889887561145407
DP 43,44,74.808809256679922,8.8428460179439732,0.5922681467458506,0.19961376414451476,16,0.024322309254478529,0,3.1752361451253819E-07,0.00098025014449376613,0.00011999825993591083,3.1752361451253819E-07,0.00098025014449376613,0.00011999825993591083
DP 44,45,92.779849054073026,9.0294827720007,0.634578595975538,0.21975680776548739,15,0.058591331230672991,0,1.1676881968014641E-06,0.0012712763855233788,0.00012195926877437633,1.1676881968014641E-06,0.0012712763855233788,0.00012195926877437633
DP 45,46,91.998520041843548,8.756253584074571,0.61969785997046856,0.2183329393222741,14,0.054972633216763947,0,2.2168489977048011E-06,0.0012060299050062895,0.00011940847178572869,2.2168489977048011E-06,0.0012060299050062895,0.00011940847178572869
DP 46,47,184.94815343665013,11.500694936107056,1.2737261270187188,0.49194645879233784,14,0.043872144723614018,0,7.8708313822062337E-07,0.0025514961841205754,0.00015840344301514117,7.8708313822062337E-07,0.0025514961841205754,0.00015840344301514117
DP 47,48,273.98888658770932,13.40197755075484,1.6795103031509506,0.57296630263464621,14,0.054228478790870588,0,8.3602674294525059E-07,0.003711794619448483,0.00018633095729249068,8.3602674294525059E-07,0.003711794619448483,0.00018629959237178681
DP 48,49,96.50810404939557,11.325237855603413,0.98796237516578711,0.29863633046337817,14,0,0,0,0.0012814333313144743,0.00015614485174935002,0,0.0012814333313144743,0.00015614485174935002
DP 49,50,113.02214788462057,12.59622527315835,0.96053184097047484,0.268494801177705,16,0.0059532486628185955,0,2.3070393240232079E-07,0.0015199452172964811,0.00017039322672396696,2.3070393240232079E-07,0.0015199452172964811,0.00017039322672396696
DP 50,51,268.57435731398164,9.6222399451247842,1.2576808204610186,0.20790731234379276,13,0,0,0,0.0039460526313632727,0.00013562381235262519,0,0.0039460526313632727,0.00013562381235262519
DP 51,52,145.55495954514154,7.4883051362286208,0.46020384064565206,0.15498590695633538,18,0.060897490507476816,0,7.9500637184537482E-07,0.0019001953769475222,0.00010135561326154923,7.9500637184537482E-07,0.0019001953769475222,0.00010135561326154923
DP 52,53,226.029473684219,12.140567262861426,1.3010694748714089,0.51928017440441376,14,0,0,0,0.0029507763683795929,0.00016790285585302177,0,0.0029507763683795929,0.00016790285585302177
DP 53,54,303.03063087234904,12.264679411257582,1.348621406836424,0.47643753672306277,16,0.078873991227620441,0,1.3088524610793684E-06,0.0039560133591294289,0.00016704371826203675,1.3088524610793684E-06,0.0039560133591294289,0.00016704371826203675
DP 54,55,262.092975314347,15.822620853414096,2.1466875592568555,0.78956091028939523,13,0,0,0,0.0035981993423774838,0.00022388360193648267,0,0.0034812967060133815,0.0002236998916686906
DP 55,56,128.25052207950478,9.6650874690152175,0.74590297158655039,0.27600312342797112,16,0.044713612496600962,0,5.8372859257360687E-07,0.0016944459639489651,0.00013204000195588878,5.8372859257360687E-07,0.0016944459639489651,0.00013204000195588878
DP 56,57,270.34667333232113,13.673914383258934,1.4174252229865361,0.43982175738267165,14,0.061363973556227872,0,8.0109629152502748E-07,0.0048008374287746847,0.0001908806351230129,8.0109629152502748E-07,0.0037540456396527588,0.00019041457972236467
DP 57,58,230.37577442370434,11.96590972810173,1.5434558268271348,0.53379701962258819,17,0.1291813160313155,0,1.7945421859622002E-06,0.0030990268103778364,0.00016372679978184581,1.7945421859622002E-06,0.0030990268103778364,0.00016372679978184581
DP 58,59,248.18706579105412,12.920138301888109,1.6733663390144926,0.50375667922240419,15,0.054171478562493304,0,1.3628687156597152E-06,0.0040706934873014685,0.00017679133947390464,1.3628687156597152E-06,0.0034810575656592847,0.00017661837263427348
DP 59,60,112.46908913077743,9.6287376127519391,0.7196933253270652,0.23146730721348927,13,0,0,0,0.0014682648470625281,0.0001347764549421126,0,0.0014682648470625281,0.0001347764549421126
DP 60,61,115.80695382107703,10.780855377331374,0.884461636955693,0.30301926644734789,15,0.067821189640980772,0,8.8539411535748513E-07,0.0015151030384004116,0.0001467302595952407,8.8539411535748513E-07,0.0015151030384004116,0.0001467302595952407
DP 61,62,130.66686710366619,10.744687151028835,0.85739844190690806,0.31222114471509077,16,0.059668511314237387,0,1.2527372348358767E-06,0.0018310534845416744,0.00014689263997583117,1.2527372348358767E-06,0.0018310534845416744,0.00014689263997583117
DP 62,63,160.89952084261213,9.6764264203542911,0.65584662301894192,0.22464447655757991,13,0.1083268156142425,0,1.5391319720947649E-06,0.0021005161106586456,0.00013415552989299892,1.5391319720947649E-06,0.0021005161106586456,0.00013415552989299892
DP 63,64,203.72158836406919,14.707737888095654,2.212147142847749,1.0098858659025087,15,0.059192088004885061,0,9.5843556380259542E-07,0.00288493426827093,0.00020006849734056497,9.5843556380259542E-07,0.00288493426827093,0.00020006849734056497
DP 64,65,69.3522731546729,8.90436337766307,0.60608176419588056,0.195101570141592,17,0.037061922919748511,0,5.37759490271128E-07,0.00097196454104656971,0.00012028088978758982,5.37759490271128E-07,0.00097196454104656971,0.00012028088978758982
DP 65,66,266.36041138375077,19.493082627102474,3.0593888867730792,1.0208746490037228,15,0.050853950698600173,0,9.52566381329234E-07,0.0044978137593716383,0.000269542744180536,9.52566381329234E-07,0.0035599325317889454,0.0002691294120064286
DP 66,67,200.11620843143734,14.511394390286458,1.2987685461760745,0.37901065665845929,14,0.051289192325260392,0,7.9873473168845521E-07,0.0027629383063564696,0.00019751132504130034,7.9873473168845521E-07,0.0027629383063564696,0.00019751132504130034
DP 67,68,95.082475469608809,8.71710977116344,0.62740912312763153,0.22989639791932059,18,0.079586073244629615,0,1.3646393881572294E-06,0.0012466742773540318,0.00011742489603033225,1.3646393881572294E-06,0.0012466742773540318,0.00011742489603033225
DP 68,69,89.998585329918185,10.110481397097857,0.8144571210370446,0.27825683205437679,16,0.055671804608907027,0,9.1509679123191745E-07,0.0012626117968466133,0.00013714224531575979,9.1509679123191745E-07,0.0012626117968466133,0.00013714224531575979
DP 69,70,75.9553166866975,9.5027352031865568,0.68882272509839482,0.23842353759847978,16,0.08448817473708764,0,1.1029787856386974E-06,0.00099347566720098257,0.00012863894986384446,1.1029787856386974E-06,0.00099347566720098257,0.00012863894986384446
DP 70,71,294.74287375039614,17.925031120484732,3.6066529167533461,1.3745925746970331,14,0.048167644688516968,0,6.2882043039280688E-07,0.0050507599953562021,0.00024943292844310843,6.2882043039280688E-07,0.0038737441645935178,0.00024855394886942622
DP 71,72,166.97008860476373,8.279254390307301,0.64049202620582557,0.26217116084098796,14,0,0,0,0.0021797660738229752,0.00011365398275266171,0,0.0021797660738229752,0.00011365398275266171
DP 72,73,224.7225983055823,12.402342838208918,1.3084427610907428,0.52419132987365946,15,0.050299370789079721,0,8.1915820260292094E-07,0.0030526213813573122,0.00016891045707678704,8.1915820260292094E-07,0.0030526213813573122,0.00016891045707678704
DP 73,74,167.72441951150159,9.6941241419447355,0.848463176610145,0.34748515292375082,16,0.04601211420085749,0,6.0074088992223551E-07,0.0021896138787269592,0.00013225781360111234,6.0074088992223551E-07,0.0021896138787269592,0.00013225781360111234
DP 74,75,135.54577215763592,10.450272032511004,0.85040436300680289,0.30987937116602338,20,0.028087913072699002,0,3.8161007864800922E-07,0.001839898235630244,0.00014230650811644538,3.8161007864800922E-07,0.001839898235630244,0.00014230650811644538
DP 75,76,167.93139790600208,11.168544565901177,1.0557396199361051,0.39638772983440917,15,0.020260814810758768,0,5.4693163065167028E-07,0.002445025648921728,0.00015145802761307471,5.4693163065167028E-07,0.002445025648921728,0.00015145802761307471
DP 76,77,80.091562913897178,8.5431104735226242,0.57255882654307555,0.184243684196892,16,0.061563052429573918,0,8.0369522947876249E-07,0.0011253062014778454,0.00011593390401029639,8.0369522947876249E-07,0.0011253062014778454,0.00011593390401029639
DP 77,78,313.03038224505303,10.45020779613448,0.93555522763476728,0.36853415142125362,16,0.036028455258159106,0,1.21618927551026E-06,0.0044134254567325115,0.00014332544489668674,1.21618927551026E-06,0.0044134254567325115,0.00014332544489668674
DP 78,79,252.56960254515127,13.614305541356888,1.5930384194341465,0.545596865381394,14,0.059230453216226754,0,7.732435278740013E-07,0.0038576977676711977,0.00018691925040221561,7.732435278740013E-07,0.0038576977676711977,0.00018691925040221561
DP 79,80,289.79934523573479,13.25053090031269,2.3659122341402186,1.0893356094172906,16,0.0091700758086696449,0,4.0975592696668173E-07,0.0042432600166648626,0.00018176701148227991,4.0975592696668173E-07,0.0042432600166648626,0.00018163855944631618
DP 80,81,277.71819682742381,14.947477491541276,1.9217920661988226,0.70879598970235358,15,0.074395768186217723,0,1.2800398963008774E-06,0.0037903625052422285,0.000204313722659448,1.2800398963008774E-06,0.0036704652787496648,0.00020423798926414615
DP 81,82,264.94651446222082,14.812950754720958,1.472320125411694,0.39415918824137375,13,0,0,0,0.0034588316921144724,0.00020839231436066465,0,0.0034588316921144724,0.00020839231436066465
DP 82,83,120.92024065955491,7.67380717218951,0.48258538438809911,0.17120011378335565,18,0.030452492970674191,0,7.9063516977839754E-07,0.0015785932773724198,0.00010344646627278592,7.9063516977839754E-07,0.0015785932773724198,0.00010344646627278592
DP 83,84,297.05681359294692,10.245118141846383,0.99227647879268677,0.32428805236183472,14,0.059898460426640508,0,1.2406027281031129E-06,0.0039171669632196426,0.00014310885417458564,1.2406027281031129E-06,0.0039171669632196426,0.00014310885417458564
DP 84,85,102.90560765611079,8.7253937621186655,0.6258321944137567,0.21706711284239627,14,0,0,0,0.0014189340096587937,0.00012191779671087802,0,0.0014189340096587937,0.00012191779671087802
DP 85,86,116.59612733895486,9.0509966520134615,0.68063523699383888,0.25770277137066755,16,0.027504381424217912,0,3.5906504081140156E-07,0.0015473501989617944,0.00012306917068955021,3.5906504081140156E-07,0.0015473501989617944,0.00012306917068955021
DP 86,87,261.18011337280694,9.4388434589026833,0.750948578454784,0.27553707454512028,14,0.04191800195499331,0,5.4723238918086281E-07,0.0034455814165994525,0.0001311189256867086,5.4723238918086281E-07,0.0034455814165994525,0.0001311189256867086
DP 87,88,126.29719724822991,9.382407667608458,0.66937523428735224,0.20389967762785371,14,0,0,0,0.0016668881289660931,0.00013000896367047209,0,0.0016668881289660931,0.00013000896367047209
DP 88,89,416.15988005547223,11.041486519146002,1.1242739656467384,0.42617854531408661,15,0.082709600769619057,0,1.0797597269629478E-06,0.0089782858267426491,0.0001536956782743608,1.0797597269629478E-06,0.0054328967817127705,0.00015252194056950455
DP 89,90,155.6021878414744,10.46750231944114,0.81034543493024669,0.25601248910165553,15,0.021471092414964803,0,7.2584623467264464E-07,0.0020383144146762788,0.0001424296800496678,7.2584623467264464E-07,0.0020383144146762788,0.0001424296800496678
DP 90,91,153.69537807218086,9.9706432067711752,0.7493802357684537,0.25306771795984123,15,0.058962452676430459,0,1.1526809657880221E-06,0.0020064669661223888,0.00013568182138282435,1.1526809657880221E-06,0.0020064669661223888,0.00013568182138282435
DP 91,92,69.54935977394814,8.1205378408591731,0.5199199875661501,0.18473226278909924,18,0.044828429065273755,0,1.5537716535618529E-06,0.00096086162375286222,0.00010967490067876092,1.5537716535618529E-06,0.00096086162375286222,0.00010967490067876092
DP 92,93,611.70521459877239,12.571119302151056,1.3454456670003156,0.54398511014906448,13,0,0,0,0.0079857083037495613,0.00017525174673464663,0,0.0079857083037495613,0.00017525174673464663
DP 93,94,225.03968898239742,11.916477301962484,0.9856832570758276,0.35089005383298366,15,0.0077514427846448308,0,1.2051635778220771E-07,0.0029378549661487341,0.00016163121175442343,1.2051635778220771E-07,0.0029378549661487341,0.00016163121175442343
DP 94,95,280.22258886090196,14.1109713396985,2.4603718593739692,0.70436383815154535,17,0.032032346565511141,0,4.18176853145269E-07,0.0057290770113468167,0.00019492550881242037,4.18176853145269E-07,0.0036828352216010294,0.00019367800396263594
DP 95,96,240.3692255904692,9.2333243451350135,0.897874881208042,0.36879042961739111,15,0.012400226765342474,0,2.6527249019636656E-07,0.0033059245906770229,0.00012640305412709989,2.6527249019636656E-07,0.0033059245906770229,0.00012640305412709989
DP 96,97,249.2826004594167,12.195691989698958,1.3065600437697218,0.48034880947773129,14,0.057146339613297265,0,8.0433238736077328E-07,0.0033339547614256539,0.00016993969689314004,8.0433238736077328E-07,0.0033339547614256539,0.00016987472182419659
DP 97,98,,,,,,,,,,,,,
DP 98,99,94.656857816645584,9.7186763701847418,0.71803499464535336,0.26770975833519178,15,0.0694098733342202,0,1.0844919131614006E-06,0.0012474370499451954,0.00013099099467138743,1.0844919131614006E-06,0.0012474370499451954,0.00013099099467138743
DP 99,100,81.630461053016447,7.6603414027992764,0.46437268068925897,0.16637114833735403,14,0.041341493105721952,0,6.3399193095392548E-07,0.0011125794844701886,0.00010548198369290308,6.3399193095392548E-07,0.0011125794844701886,0.00010548198369290308
DP 100,101,151.9338542429756,8.6428455435283151,0.57721596228270411,0.19945911831336691,16,0.050485671046889551,0,6.5908187707464094E-07,0.0019834707491099834,0.00011830096219404346,6.5908187707464094E-07,0.0019834707491099834,0.00011830096219404346
DP 101,102,198.88858770718991,11.951933575907368,1.0169676173706628,0.331605801364056,15,0.085293975448214973,0,1.9329181668581441E-06,0.0031083727662917227,0.00016364647702614258,1.9329181668581441E-06,0.0031083727662917227,0.00016364647702614258
DP 102,103,129.37931209830404,9.8551333465539255,0.69855478949113758,0.18236767453340474,15,0.041841464666944418,0,5.4623319556412753E-07,0.0016890248516574502,0.00013405470471610786,5.4623319556412753E-07,0.0016890248516574502,0.00013405470471610786
DP 103,104,93.953085418342681,10.799831196381554,0.83297481773715554,0.30043064401982411,14,0.012355051372832809,0,3.3803027577050671E-07,0.0013841371595238645,0.00014669320358096127,3.3803027577050671E-07,0.0013841371595238645,0.00014669320358096127
DP 104,105,106.60230581301339,9.152965047979265,0.73599102458925747,0.29031699172697267,16,0.11646708092749619,0,1.5727487152616959E-06,0.0014086371908585231,0.00012394799241213409,1.5727487152616959E-06,0.0014086371908585231,0.00012394799241213409
DP 105,106,180.62707279281898,9.50096120482212,0.73213793719761744,0.26200116454565858,14,0.054298349448934718,0,7.0885573677514913E-07,0.0024865853677814207,0.000131013797618046,7.0885573677514913E-07,0.0024865853677814207,0.000131013797618046
DP 106,107,241.95267246916859,11.495114347850071,1.1568258748685181,0.456843563905673,14,0.051384183848164969,0,6.9001990254946577E-07,0.0032058599172160029,0.00015661504651264679,6.9001990254946577E-07,0.0032058599172160029,0.00015661504651264679
DP 107,108,141.24160305810517,8.815212868862746,0.78748373250197379,0.32997600670084365,16,0.046857290722520414,0,6.5342860011696757E-07,0.0018457619589753449,0.00011928052273666888,6.5342860011696757E-07,0.0018457619589753449,0.00011928052273666888
DP 108,109,63.493841108541325,8.5616764605945388,0.50275565557559077,0.14914898788810949,16,0.021342847871890988,0,3.835281745523389E-07,0.00082890130579471588,0.00011549083778993178,3.835281745523389E-07,0.00082890130579471588,0.00011549083778993178
DP 109,110,137.01238889649727,9.6922547354479747,0.90618915734579741,0.36326116337226977,15,0,0,0,0.0017886734567582607,0.00013383280223912969,0,0.0017886734567582607,0.00013383280223912969
DP 110,111,202.77719392727371,10.536162003059465,0.78187694358783622,0.25940958047421553,13,0,0,0,0.0026472220197319984,0.00014527177700094645,0,0.0026472220197319984,0.00014527177700094645
DP 111,112,179.51942699119718,11.105378216792413,0.82000875453756994,0.24662192903186309,15,0.0774513779049921,0,1.3502148021871108E-06,0.0023435957264155149,0.00015120368472579831,1.3502148021871108E-06,0.0023435957264155149,0.00015120368472579831
DP 112,113,86.616322294726046,8.4569331635326925,0.59841725918358568,0.22412106423476341,14,0.034686770867650478,0,1.3357082480069948E-06,0.0011397678754292428,0.00011554360860606484,1.3357082480069948E-06,0.0011397678754292428,0.00011554360860606484
DP 113,114,120.13328454652732,11.377601342950014,1.0447477633315629,0.40768769567942292,16,0.035175001230922986,0,5.6838473483367125E-07,0.0015742657706141472,0.00015482134500011311,5.6838473483367125E-07,0.0015742657706141472,0.00015482134500011311
DP 114,115,97.226530589699635,8.8483153483906722,0.67239318010923377,0.24288300965564574,16,0.048996928450813153,0,9.19072988381231E-07,0.0012694809702225029,0.00011931818702768099,9.19072988381231E-07,0.0012694809702225029,0.00011931818702768099
